task,config_name,nperseg,noverlap,nfft,overlap_ratio,time_resolution_sec,freq_resolution_hz,val_acc,test1_acc,test2_acc,test1_loss,test2_loss
SSVEP,default,128,112,512,0.875,0.512,0.48828125,85.08158508158508,85.43123543123544,95.1923076923077,0.5967894357831769,0.1632798676204402
SSVEP,nperseg_64,64,56,512,0.875,0.256,0.48828125,83.56643356643356,82.28438228438229,94.23076923076923,0.5511091824586468,0.23739768620580434
SSVEP,overlap_50pct,128,64,512,0.5,0.512,0.48828125,87.52913752913753,86.59673659673659,94.55128205128206,0.508008194881431,0.24769827823183732
SSVEP,overlap_75pct,128,96,512,0.75,0.512,0.48828125,79.48717948717949,81.46853146853147,93.58974358974359,0.8187972708590139,0.22210054322786163
SSVEP,overlap_93pct,128,120,512,0.9375,0.512,0.48828125,84.84848484848484,84.26573426573427,94.55128205128206,0.6431384378250826,0.19182531941623893
SSVEP,nfft_256,128,112,256,0.875,0.512,0.9765625,79.25407925407926,80.3030303030303,93.58974358974359,0.8356708899804356,0.219034406170249
SSVEP,nfft_1024,128,112,1024,0.875,0.512,0.244140625,86.94638694638695,85.43123543123544,95.51282051282051,0.5073454083391914,0.177948505920358
SSVEP,nfft_2048,128,112,2048,0.875,0.512,0.1220703125,86.48018648018648,87.64568764568764,97.43589743589743,0.553522692598091,0.14530703253112734
SSVEP,high_time_res,64,56,512,0.875,0.256,0.48828125,83.56643356643356,82.28438228438229,94.23076923076923,0.5511091824586468,0.23739768620580434
SSVEP,high_freq_res,128,112,2048,0.875,0.512,0.1220703125,86.48018648018648,87.64568764568764,97.43589743589743,0.553522692598091,0.14530703253112734
SSVEP,balanced,128,96,1024,0.75,0.512,0.244140625,86.94638694638695,85.31468531468532,93.91025641025641,0.4830131535461448,0.20036244197981432
