task,config_name,nperseg,noverlap,nfft,overlap_ratio,time_resolution_sec,time_step_sec,freq_resolution_hz,val_acc,val_f1,val_recall,val_auc,test1_acc,test1_f1,test1_recall,test1_auc,test1_loss,test2_acc,test2_f1,test2_recall,test2_auc,test2_loss
SSVEP,nperseg128_overlap87pct_nfft512,128,112,512,0.875,0.512,0.064,0.48828125,74.009324009324,74.20376832215321,74.009324009324,98.78491205763932,74.70862470862471,74.63413009295262,74.70862470862471,98.8667796849615,0.7387400464051299,88.14102564102564,88.04214694014026,88.14102564102562,99.77564102564102,0.3673526208847761
SSVEP,nperseg64_overlap87pct_nfft512,64,56,512,0.875,0.256,0.032,0.48828125,76.57342657342657,76.57209490767247,76.57342657342657,98.85159285159287,77.50582750582751,77.50847927765521,77.50582750582751,98.9633396906124,0.7182233948950414,90.38461538461539,90.37994187158067,90.38461538461537,99.80662393162393,0.36182723455131055
SSVEP,nperseg128_overlap50pct_nfft512,128,64,512,0.5,0.512,0.256,0.48828125,83.91608391608392,84.06165662334702,83.91608391608393,99.32231404958678,84.14918414918415,84.20590760466283,84.14918414918415,99.37387864660592,0.5050466703251004,92.94871794871794,92.97177014735543,92.94871794871796,99.72542735042735,0.26447010966949164
SSVEP,nperseg128_overlap75pct_nfft512,128,96,512,0.75,0.512,0.128,0.48828125,78.78787878787878,79.11089811029757,78.78787878787877,97.7372324645052,80.53613053613054,80.60489239424027,80.53613053613053,98.54969273151093,0.7210244485780735,94.87179487179488,94.78844009947689,94.87179487179488,99.74252136752136,0.23831236392725258
SSVEP,nperseg128_overlap93pct_nfft512,128,120,512,0.9375,0.512,0.032,0.48828125,82.16783216783217,82.35549814872891,82.16783216783217,99.27625909444093,81.58508158508158,81.56915289899105,81.58508158508157,99.33305078759625,0.542864917639505,91.98717948717949,91.91715926832983,91.98717948717949,99.82478632478633,0.24014015728607774
SSVEP,nperseg128_overlap87pct_nfft256,128,112,256,0.875,0.512,0.064,0.9765625,77.97202797202797,78.1398735006688,77.97202797202796,97.83824256551529,79.37062937062937,79.25070399482134,79.37062937062936,98.22914459278095,0.8143569897446368,93.58974358974359,93.34278017184742,93.58974358974359,99.86111111111111,0.22267477186396717
SSVEP,nperseg128_overlap87pct_nfft1024,128,112,1024,0.875,0.512,0.064,0.244140625,76.8065268065268,76.90710074188819,76.8065268065268,98.9849544394999,77.85547785547786,77.86328262582109,77.85547785547784,98.78703115066752,0.7241002604089402,90.06410256410257,89.9644843297248,90.06410256410255,99.89423076923077,0.26271914765238763
SSVEP,nperseg128_overlap87pct_nfft2048,128,112,2048,0.875,0.512,0.064,0.1220703125,73.1934731934732,73.17487811024978,73.1934731934732,98.1986296531751,72.02797202797203,72.11223211872745,72.02797202797203,98.40757222575405,0.8762789291364176,87.5,87.45563606987652,87.5,99.65384615384617,0.4231782518327236
SSVEP,nperseg128_overlap50pct_nfft2048,128,64,2048,0.5,0.512,0.256,0.1220703125,79.13752913752914,79.30840977322407,79.13752913752913,98.96150314332132,78.08857808857809,78.19772804670309,78.08857808857807,98.87829342374796,0.6925167507595487,90.7051282051282,90.55775405293154,90.7051282051282,99.82478632478633,0.29426741059869527
