parameter,value,mean_acc,std_acc,count,best_acc
nperseg,64.0,78.32167832167833,5.4956809608535515,11,86.36363636363636
nperseg,128.0,84.03263403263404,,1,84.03263403263404
nfft,1024.0,78.72960372960372,7.624016989009922,4,86.36363636363636
nfft,2048.0,77.15617715617715,6.190336468479952,3,84.26573426573427
nfft,512.0,79.83682983682984,4.1049804814350415,5,84.03263403263404
overlap_ratio,0.5,81.42968142968142,6.810291026276436,3,86.36363636363636
overlap_ratio,0.87,80.7983682983683,4.463910038138168,4,84.03263403263404
overlap_ratio,0.75,76.92307692307692,3.48092879325596,3,79.48717948717949
overlap_ratio,0.93,73.65967365967366,7.417203998460281,2,78.9044289044289
